X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-8.32074,-2.29824,0.28119,584.352,5.77422,6.66317,-0.23819,584.352
1.57451,8.21175,-4.68854,794.529,3.10946,-8.0597,-0.489607,794.529
-8.13963,-0.244098,-4.0724,2173.33,7.9171,2.43697,-2.16382,2173.33
8.1369,0.265035,-4.82923,2655.48,-8.26172,2.77103,-0.938199,2655.48
-3.73905,7.95467,-2.14318,3625.49,3.86444,-7.64659,-1.63067,3625.49
-1.83729,-8.03848,-4.90531,4154.45,3.21115,7.77995,-1.12804,4154.45
-0.974961,-8.1413,-3.35734,8930.88,1.84717,8.3918,-1.42809,8930.88
-3.66851,7.46073,-2.09592,10311,3.79869,-7.35858,-3.32698,10311
-2.3823,8.22028,1.39178,12206.7,2.70699,-7.74799,-5.90426,12206.7
-4.33712,-6.97763,-3.5156,12198.9,5.49217,7.03117,3.59557,12198.9
-0.789607,8.59262,0.24449,12784.1,1.49927,-8.69248,-5.23605,12784.1
-5.77228,5.91964,1.5397,13049,6.07136,-5.80787,-5.83277,13049
-4.44902,-6.95208,-5.84024,13211.7,5.40044,6.71072,0.700093,13211.7
8.08962,-0.180998,-4.10404,13268.7,-8.39088,-0.370884,-1.18168,13268.7
-4.29496,-7.58354,-4.70201,13404.9,4.71847,6.87095,-0.53891,13404.9
8.11809,-3.96009,-0.494396,13736.7,-7.41928,4.0528,-4.41693,13736.7
-5.451,-6.84742,-4.09068,16943.8,2.73323,7.731,-1.3393,16943.8
0.239165,8.31054,-1.69604,17452.4,0.610733,-8.91848,1.22494,17452.4
-2.80597,7.68665,-2.8592,19277.9,5.29057,-6.81769,-1.74307,19277.9
8.59964,-2.00418,-1.13322,19531.5,-7.53676,3.5541,-3.53261,19531.5
-8.48823,0.0450563,-5.14765,19670.7,7.71911,2.96725,1.00784,19670.7
8.3451,0.465307,-2.96748,20448.4,-7.65322,4.42564,1.22899,20448.4
5.39674,6.09986,-4.25916,20674.8,-5.01024,-6.879,1.7646,20674.8
8.61171,0.497653,0.613286,21312.9,-8.42515,1.8676,-6.01549,21312.9
-2.50557,7.71812,-2.44055,22899,8.43447,-2.73338,-3.69961,22899
-0.162219,8.71944,-3.36942,23539.8,3.53824,-7.40411,-0.230414,23539.8
2.02777,7.93685,-6.14088,23756.8,0.805519,-8.46738,4.37496,23756.8
7.92232,2.69867,-3.35714,23863.2,-8.61002,-0.120326,-1.03524,23863.2
5.29403,7.07328,-5.73403,26171.9,-4.79055,-6.74765,1.3696,26171.9
-1.17726,8.4369,-1.45443,26439.8,5.60492,-6.40243,-2.60493,26439.8
-6.84717,5.70161,1.09872,26563.4,8.66186,-0.24595,-4.11073,26563.4
-6.59074,5.38852,2.07826,27172.5,9.03507,0.571988,-5.4835,27172.5
